Timestamp,Room,Motion_Sensor,Temperature,Humidity,Light_Level,Sound_Level,Appliance_Usage,People_Present,Activity
2025-04-07 20:25:00,Living Room,0,21.9,35,80,73,1,3,Watching TV
2025-04-02 20:15:00,Bathroom,1,22.8,45,70,34,1,1,Using Toilet
2025-04-05 23:26:00,Bathroom,0,25.6,45,46,33,0,2,Using Toilet
2025-04-02 11:59:00,Kitchen,0,27.6,35,99,97,0,3,Cleaning
2025-04-07 04:02:00,Bathroom,1,27.2,40,43,85,1,2,Using Toilet
2025-04-05 07:15:00,Bedroom,1,26.8,30,9,55,1,1,Idle
2025-04-03 17:58:00,Living Room,0,20.6,45,15,84,1,3,Watching TV
2025-04-02 10:37:00,Bedroom,0,24.1,30,69,78,1,1,Reading
2025-04-04 07:41:00,Bedroom,1,20.8,35,62,85,0,5,Sleeping
2025-04-02 12:50:00,Kitchen,0,20.2,60,63,92,1,2,Cooking
2025-04-08 02:13:00,Bedroom,1,24.5,50,55,85,1,5,Sleeping
2025-04-05 22:37:00,Bedroom,1,26.8,45,84,86,1,2,Sleeping
2025-04-04 07:30:00,Living Room,0,18.6,60,49,60,1,4,Idle
2025-04-06 05:37:00,Kitchen,1,22.3,50,54,31,0,1,Cooking
2025-04-03 13:29:00,Bedroom,1,20.8,30,47,32,1,4,Sleeping
2025-04-08 04:05:00,Bedroom,0,20.4,35,65,32,1,3,Reading
2025-04-05 16:45:00,Bedroom,1,26.6,45,75,44,1,3,Reading
2025-04-05 09:51:00,Bedroom,1,20.0,40,68,50,1,3,Idle
2025-04-03 04:40:00,Bathroom,0,26.6,60,89,22,0,5,Using Toilet
2025-04-03 10:55:00,Bathroom,0,25.3,60,51,23,1,1,Idle
2025-04-07 22:20:00,Bedroom,1,27.6,55,29,61,1,1,Idle
2025-04-07 05:05:00,Living Room,1,22.8,30,24,31,1,4,Idle
2025-04-01 15:52:00,Living Room,0,24.3,50,67,40,0,2,Idle
2025-04-07 15:07:00,Living Room,1,23.8,50,45,96,0,3,Relaxing
2025-04-06 17:46:00,Bedroom,0,22.3,50,27,60,0,5,Sleeping
2025-04-02 08:57:00,Living Room,1,26.1,55,13,37,1,4,Watching TV
2025-04-03 05:29:00,Living Room,0,18.0,50,36,85,0,4,Idle
2025-04-01 22:12:00,Living Room,1,20.3,55,87,60,0,1,Watching TV
2025-04-06 00:08:00,Bedroom,1,19.1,40,8,23,0,3,Reading
2025-04-03 05:17:00,Living Room,0,22.7,60,48,66,1,2,Idle
2025-04-06 17:53:00,Bedroom,0,24.9,30,83,92,0,3,Sleeping
2025-04-04 13:11:00,Bathroom,1,27.8,55,54,94,1,3,Idle
2025-04-04 07:43:00,Bedroom,0,21.1,40,1,84,0,2,Idle
2025-04-03 15:11:00,Kitchen,0,21.2,60,80,56,1,1,Idle
